epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3495,1.40151,34.6529,1.43425,0.7561,0.47451,0.48638,0.34468,1.22428,2.6255,1.32116,0.000471099,0.000471099,0.000471099
2,72.84,1.35286,3.3184,1.34278,0.57009,0.68325,0.71575,0.45158,1.26508,11.4975,1.53978,0.000942742,0.000942742,0.000942742
3,104.452,1.35693,1.96102,1.35026,0.68066,0.67377,0.72254,0.49347,1.28108,1.27736,1.37243,0.00140967,0.00140967,0.00140967
4,135.266,1.42522,1.87136,1.41916,0.70408,0.73013,0.67541,0.49759,1.03983,1.33434,1.19774,0.00140778,0.00140778,0.00140778
5,162.83,1.30207,1.4298,1.32656,0.61926,0.55362,0.63027,0.4651,1.18363,3.10885,1.31555,0.00140071,0.00140071,0.00140071
6,190.634,1.25968,1.45947,1.29599,0.79041,0.74398,0.84771,0.62579,1.04329,0.88298,1.19248,0.00139363,0.00139363,0.00139363
7,220.281,1.20852,1.14224,1.28474,0.79723,0.65896,0.82083,0.62231,1.04347,1.00657,1.21386,0.00138656,0.00138656,0.00138656
8,249.006,1.19648,1.21769,1.26142,0.79967,0.7796,0.86077,0.65696,0.99271,0.86686,1.13928,0.00137949,0.00137949,0.00137949
9,277.701,1.15088,1.15231,1.24212,0.78589,0.76156,0.80636,0.61599,0.95985,1.03077,1.12197,0.00137241,0.00137241,0.00137241
10,305.483,1.13398,1.1,1.22004,0.89926,0.7107,0.87065,0.6979,0.85362,0.75722,1.05329,0.00136534,0.00136534,0.00136534
11,332.748,1.09147,0.99184,1.21494,0.81907,0.79258,0.88435,0.67385,1.00385,0.70736,1.19858,0.00135826,0.00135826,0.00135826
12,360.113,1.15252,1.01918,1.23383,0.79344,0.81697,0.87928,0.69358,0.89374,0.66834,1.07411,0.00135119,0.00135119,0.00135119
13,387.343,1.03911,0.92738,1.18447,0.82669,0.83318,0.8775,0.6785,0.93096,0.79164,1.10673,0.00134412,0.00134412,0.00134412
14,414.096,1.024,0.99644,1.1883,0.83766,0.84873,0.88365,0.6765,0.95978,0.69466,1.15647,0.00133704,0.00133704,0.00133704
15,441.066,1.04302,0.89213,1.1937,0.85772,0.83768,0.90578,0.74102,0.77075,0.63809,1.03482,0.00132997,0.00132997,0.00132997
16,469.804,0.96431,0.86518,1.1452,0.91531,0.78902,0.91916,0.74844,0.76158,0.65774,1.0204,0.0013229,0.0013229,0.0013229
17,500.144,0.93894,0.88605,1.1294,0.88321,0.82378,0.88943,0.74035,0.77986,0.77375,1.02535,0.00131582,0.00131582,0.00131582
18,530.109,0.90481,0.797,1.11078,0.76789,0.89354,0.90014,0.7585,0.72049,0.64285,0.98609,0.00130875,0.00130875,0.00130875
19,559.769,0.95528,0.86125,1.16275,0.81495,0.88938,0.91139,0.73452,0.86155,0.61915,1.04674,0.00130168,0.00130168,0.00130168
20,589.004,0.89038,0.76604,1.08628,0.80094,0.89906,0.88403,0.72334,0.79224,0.61965,1.01885,0.0012946,0.0012946,0.0012946
21,619.587,0.95187,0.7974,1.13766,0.81205,0.88096,0.89166,0.74273,0.72466,0.62138,0.99854,0.00128753,0.00128753,0.00128753
22,649.606,0.94287,0.79414,1.12483,0.83475,0.84723,0.90194,0.74317,0.73498,0.59648,0.98258,0.00128046,0.00128046,0.00128046
23,679.267,0.95306,0.90117,1.11075,0.88684,0.84922,0.90343,0.77039,0.68418,0.85502,0.9535,0.00127338,0.00127338,0.00127338
24,708.586,0.86044,0.79047,1.09663,0.85042,0.86949,0.90027,0.73734,0.72772,0.632,0.9643,0.00126631,0.00126631,0.00126631
25,738.344,0.9341,0.70955,1.10886,0.82077,0.88493,0.91882,0.78521,0.68049,0.54148,0.96651,0.00125923,0.00125923,0.00125923
26,768.304,0.89942,0.74304,1.06986,0.87978,0.81599,0.92416,0.77434,0.73522,0.57335,0.97885,0.00125216,0.00125216,0.00125216
27,797.531,0.85862,0.7801,1.07894,0.86094,0.87462,0.92747,0.77568,0.71052,0.54456,0.98743,0.00124509,0.00124509,0.00124509
